date, pm25, pm10, o3, no2, so2, co
2021/6/27, 155, 99, 27, 11, 2, 8
2021/6/28, 152, 116, 26, 13, 2, 7
2021/6/29, 142, 193, 12, 10, 2, 4
2021/6/30, 118, 134, 12, 6, 2, 5
2021/1/4, 161, 86, 11, 15, 10, 9
2021/1/5, 163, 113, 27, 13, 9, 7
2021/1/6, 191, 109, 15, 12, 8, 6
2021/1/7, 181, 165, 9, 14, 9, 9
2021/1/8, 222, 135, 15, 15, 12, 6
2021/1/9, 204, 111, 18, 11, 7, 6
2021/1/10, 186, 116, 22, 14, 9, 6
2021/1/11, 190, 152, 22, 16, 9, 14
2021/1/12, 222, 218, 32, 19, 8, 16
2021/1/13, 282, 442, 30, 23, 9, 24
2021/1/14, 430, 430, 39, 24, 10, 20
2021/1/15, 428, 258, 25, 23, 7, 14
2021/1/16, 323, 161, 16, 11, 8, 9
2021/1/17, 282, 174, 21, 12, 9, 10
2021/1/18, 247, 257, 20, 11, 7, 14
2021/1/19, 317, 122, 21, 8, 7, 7
2021/1/20, 196, 128, 29, 21, 8, 11
2021/1/21, 199, 211, 15, 24, 7, 11
2021/1/22, 304, 150, 24, 21, 8, 8
2021/1/23, 230, 205, 9, 20, 7, 9
2021/1/24, 275, 147, 25, 19, 7, 4
2021/1/25, 207, 151, 48, 18, 8, 6
2021/1/26, 210, 156, 38, 32, 10, 15
2021/1/27, 200, 276, 33, 37, 10, 15
2021/1/28, 306, 237, 37, 33, 8, 10
2021/1/29, 272, 152, 41, 37, 7, 10
2021/1/30, 204, 146, 43, 33, 8, 14
2021/1/31, 194, 261, 35, 46, 8, 24
2021/2/1, 266, 234, 73, 48, 9, 16
2021/2/2, 251, 170, 32, 28, 7, 5
2021/2/3, 228, 109, 22, 24, 7, 5
2021/2/4, 169, 96, 1, 30, 7, 8
2021/2/5, 150, 104, 2, 24, 7, 4
2021/2/6, 163, 124, , 26, 7, 7
2021/2/7, 184, 174, 1, 32, 10, 11
2021/2/8, 228, 178, 10, 37, 9, 19
2021/2/9, 163, 217, 37, 31, 8, 20
2021/2/10, 232, 152, 12, 20, 3, 13
2021/2/11, 186, 257, 22, 14, 2, 12
2021/2/12, 261, 178, 21, 17, 2, 12
2021/2/13, 214, 203, 30, 17, 2, 22
2021/2/14, 234, 162, 44, 16, 2, 15
2021/2/15, 204, 193, 95, 17, 3, 10
2021/2/16, 225, 165, 95, 15, 2, 11
2021/2/17, 200, 166, 71, 21, 3, 16
2021/2/18, 185, 154, 78, 17, 3, 11
2021/2/19, 201, 124, 49, 15, 2, 8
2021/2/20, 175, 160, 21, 15, 3, 6
2021/2/21, 212, 135, 33, 15, 2, 7
2021/2/22, 180, 124, 26, 19, 3, 9
