date, pm25, pm10, o3, no2, so2, co
2018/10/10, 171, 122, 26, 24, 6, 10
2018/10/11, 153, 114, 50, 27, 7, 10
2018/10/12, 159, 132, 46, 34, 8, 19
2018/10/13, 179, 140, 45, 31, 6, 13
2018/10/14, 165, 181, 56, 39, 7, 22
2018/10/15, 184, 257, 42, 46, 7, 31
2018/10/16, 208, 258, 61, 39, 7, 24
2018/10/17, 190, 222, 34, 43, 7, 36
2018/10/18, 184, 198, 83, 38, 7, 17
2018/10/19, 197, 167, 66, 34, 8, 15
2018/10/20, 213, 213, 45, 37, 10, 16
2018/10/21, 211, 160, 44, 35, 7, 16
2018/10/22, 179, 172, 48, 42, 7, 19
2018/10/23, 172, 227, 65, 53, 11, 33
2018/10/24, 206, 274, 60, 56, 13, 35
2018/10/25, 228, 293, 41, 53, 9, 39
2018/10/26, 235, 277, 50, 58, 8, 38
2018/10/27, 231, 275, 62, 40, 8, 30
2018/10/28, 251, 296, 50, 49, 7, 30
2018/10/29, 266, 340, 51, 55, 9, 38
2018/10/30, 289, 335, 15, 54, 8, 44
2018/10/31, 264, 292, 7, 38, 7, 50
2018/11/1, 284, 206, 34, 52, 12, 21
2018/11/2, 217, 172, 33, 27, 7, 13
2018/11/3, 207, 107, 39, 21, 8, 8
2018/11/4, 154, 402, 32, 32, 6, 17
2018/11/5, 416, 138, 38, 32, 7, 11
2018/11/6, 164, 152, 51, 28, 7, 12
2018/11/7, 201, 511, 23, 47, 11, 28
2018/11/8, 479, 296, 55, 53, 7, 34
2018/11/9, 317, 267, 33, 57, 8, 36
2018/11/10, 304, 255, 51, 53, 7, 39
2018/11/11, 285, 306, 55, 57, 7, 44
2018/11/12, 300, 272, 21, 49, 7, 37
2018/11/13, 290, 139, 27, 35, 6, 19
2018/11/14, 197, 111, 28, 31, 6, 13
2018/11/15, 171, 132, 34, 29, 6, 10
2018/11/16, 194, 146, 39, 36, 6, 15
2018/11/17, 191, 156, 47, 41, 6, 23
2018/11/18, 207, 185, 38, 38, 6, 14
2018/11/19, 237, 256, 47, 47, 8, 27
2018/11/20, 253, 251, 44, 37, 6, 20
2018/11/21, 267, 162, 31, 49, 8, 21
2018/11/22, 180, 191, 33, 39, 7, 24
2018/11/23, 216, 139, 29, 27, 7, 12
2018/11/24, 171, 163, 38, 38, 7, 18
2018/11/25, 178, 248, 38, 48, 9, 33
2018/11/26, 238, 241, 3, 51, 7, 44
2018/11/27, 237, 285, 1, 52, 8, 43
2018/11/28, 242, 239, 5, 43, 5, 30
2018/11/29, 233, 246, 13, 35, 6, 23
2018/11/30, 234, 200, 32, 41, 7, 21
2018/12/1, 201, 210, 34, 47, 7, 31
2018/12/2, 189, 233, 39, 45, 6, 31
2018/12/3, 202, 223, 32, 51, 7, 37
2018/12/4, 201, 226, 31, 41, 6, 32
2018/12/5, 202, 255, 34, 50, 7, 40
2018/12/6, 207, 235, 32, 37, 5, 28
2018/12/7, 202, 234, 43, 41, 7, 29
2018/12/8, 207, 264, 36, 48, 7, 36
2018/12/9, 211, 336, 29, 44, 6, 41
2018/12/10, 232, 356, 23, 45, 6, 42
2018/12/11, 269, 260, 53, 34, 5, 25
2018/12/12, 276, 106, 23, 25, 5, 13
2018/12/13, 164, 118, 6, 28, 4, 12
2018/12/14, 177, 137, 6, 24, 4, 13
2018/12/15, 189, 150, 15, 16, 5, 14
2018/12/16, 193, 202, , 14, 4, 24
2018/12/17, 216, 236, 4, 49, 6, 22
2018/12/18, 274, 229, 19, 43, 7, 21
2018/12/19, 247, 297, 20, 43, 8, 33
2018/12/20, 287, 320, 21, 42, 7, 28
2018/12/21, 295, 385, 16, 51, 7, 33
2018/12/22, 323, 456, 20, 45, 6, 44
2018/12/23, 360, 434, 18, 44, 7, 39
2018/12/24, 339, 325, 21, 35, 5, 24
2018/12/25, 298, 261, 21, 40, 6, 23
2018/12/26, 248, 328, 15, 44, 7, 37
2018/12/27, 269, 265, 18, 34, 6, 18
2018/12/28, 241, 348, 20, 36, 7, 22
2018/12/29, 241, 374, 22, 42, 8, 38
2018/12/30, 279, , , , , 
2018/7/1, 92, 65, 25, 10, 5, 4
2018/7/2, 99, 77, 41, 21, 5, 10
2018/7/3, 124, 75, 40, 17, 6, 11
2018/7/4, 121, 95, 46, 24, 6, 6
2018/7/5, 138, 102, 31, 23, 5, 
2018/7/6, 149, 99, 48, 19, 5, 
2018/7/7, 151, 126, 68, 26, 6, 
2018/7/8, 154, 105, 40, 18, 5, 
2018/7/9, 153, 71, 31, 11, 5, 
2018/7/10, 116, 66, 25, 17, 5, 
2018/7/11, 113, 78, 51, 17, 5, 
2018/7/12, 128, 41, 14, 14, 5, 28
2018/7/13, 80, 60, 51, 14, 5, 9
2018/7/14, 93, 54, 12, 13, 5, 
2018/7/15, 86, 61, 5, 17, 5, 11
2018/7/16, 94, 61, 24, 15, 4, 5
2018/7/17, 91, 76, 111, 14, 4, 6
2018/7/18, 102, 65, 69, 13, 4, 5
2018/7/19, 97, 53, 14, 21, 4, 8
2018/7/20, 97, 63, 34, 21, 4, 8
2018/7/21, 116, 30, 12, 15, 4, 6
2018/7/22, 70, 36, 17, 15, 4, 6
2018/7/23, 80, 56, 67, 18, 4, 7
2018/7/24, 101, 40, 9, 16, 4, 6
2018/7/25, 80, 33, 5, 15, 4, 6
2018/7/26, 77, 24, 6, 13, 4, 6
2018/7/27, 64, 44, 12, 13, 4, 6
2018/7/28, 86, 79, 19, 15, 4, 6
2018/7/29, 112, 79, 21, 15, 4, 6
2018/7/30, 101, 106, 12, 19, 4, 7
2018/7/31, 146, 119, 18, 17, 4, 6
2018/8/1, 139, 159, 15, 14, 4, 5
2018/8/2, 157, 157, 10, 16, 4, 5
2018/8/3, 161, 149, 17, 17, 4, 5
2018/8/4, 162, 144, 7, 13, 4, 4
2018/8/5, 160, 88, 29, 18, 4, 7
2018/8/6, 138, 76, 53, 16, 6, 9
2018/8/7, 117, 52, 23, 15, 4, 7
2018/8/8, 88, 71, 79, 14, 4, 6
2018/8/9, 103, 89, 21, 22, 5, 11
2018/8/10, 126, 64, 10, 19, 4, 7
2018/8/11, 119, 58, 11, 14, 4, 4
2018/8/12, 81, 63, 18, 16, 4, 6
2018/8/13, 100, 84, 24, 20, 4, 8
2018/8/14, 124, 78, 26, 13, 4, 5
2018/8/15, 105, 56, 22, 21, 5, 10
2018/8/16, 99, 69, 53, 13, 4, 8
2018/8/17, 106, 61, 12, 19, 5, 8
2018/8/18, 100, 67, 33, 22, 5, 9
2018/8/19, 114, 87, 62, 22, 4, 8
2018/8/20, 134, 46, 21, 15, 5, 6
2018/8/21, 83, 55, 17, 16, 6, 7
2018/8/22, 85, 52, 8, 14, 5, 5
2018/8/23, 83, 57, 13, 14, 4, 5
2018/8/24, 69, 49, 13, 12, 4, 4
2018/8/25, 71, 54, 20, 10, 5, 4
2018/8/26, 83, 42, 63, 18, 6, 8
2018/8/27, 79, 45, 17, 17, 5, 8
2018/8/28, 79, 36, 8, 16, 4, 7
2018/8/29, 74, 60, 29, 18, 5, 9
2018/8/30, 103, 97, 17, 17, 4, 7
2018/8/31, 134, 73, 7, 23, 4, 11
2018/9/1, 117, 56, 41, 15, 4, 9
2018/9/2, 95, 52, 38, 19, 5, 10
2018/9/3, 92, 76, 16, 29, 5, 16
2018/9/4, 122, 63, 17, 18, 4, 7
2018/9/5, 115, 84, 30, 16, 4, 10
2018/9/6, 127, 63, 22, 23, 5, 11
2018/9/7, 101, 52, 24, 14, 5, 6
2018/9/8, 97, 30, 29, 10, 5, 3
2018/9/9, 70, 54, 15, 15, 5, 5
2018/9/10, 88, 48, 17, 13, 5, 6
2018/9/11, 79, 60, 9, 13, 5, 4
2018/9/12, 94, 67, 12, 12, 5, 4
2018/9/13, 87, 72, 18, 14, 5, 5
2018/9/14, 95, 72, 20, 16, 5, 7
2018/9/15, 104, 78, 18, 17, 5, 6
2018/9/16, 115, 93, 30, 18, 5, 8
2018/9/17, 134, 82, 37, 17, 5, 5
2018/9/18, 137, 92, 45, 22, 6, 9
2018/9/19, 144, 91, 59, 30, 7, 12
2018/9/20, 152, 67, 18, 17, 6, 5
2018/9/21, 101, 30, 12, 12, 5, 4
2018/9/22, 66, 30, 16, 9, 5, 4
2018/9/23, 74, 22, 7, 13, 5, 5
2018/9/24, 61, 27, 13, 14, 5, 6
2018/9/25, 65, 71, 38, 18, 5, 9
2018/9/26, 93, 77, 46, 22, 5, 19
2018/9/27, 155, 128, 42, 31, 6, 26
2018/9/28, 151, 130, 42, 32, 5, 21
2018/9/29, 157, 87, 42, 24, 6, 9
2018/9/30, 131, 81, 52, 29, 6, 13
2018/4/1, 162, 151, 46, 34, 13, 14
2018/4/2, 169, 180, 19, 46, 13, 17
2018/4/3, 176, 165, 45, 41, 12, 15
2018/4/4, 173, 282, 58, 40, 18, 20
2018/4/5, 206, 149, 48, 30, 17, 11
2018/4/6, 168, 96, 42, 23, 10, 7
2018/4/7, 119, 97, 39, 22, 12, 6
2018/4/8, 127, 83, 28, 21, 11, 6
2018/4/9, 108, 173, 41, 28, 13, 16
2018/4/10, 175, 102, 30, 16, 8, 5
2018/4/11, 146, 89, 58, 29, 9, 11
2018/4/12, 116, 112, 43, 39, 8, 14
2018/4/13, 135, 155, 44, 44, 10, 20
2018/4/14, 156, 175, 64, 50, 12, 22
2018/4/15, 178, 264, 25, 52, 13, 25
2018/4/16, 201, 117, 29, 38, 8, 8
2018/4/17, 147, 138, 32, 24, 6, 5
2018/4/18, 157, 177, 30, 37, 11, 10
2018/4/19, 169, 326, 24, 24, 10, 7
2018/4/20, 192, 457, 35, 20, 8, 5
2018/4/21, 211, 143, 30, 25, 14, 5
2018/4/22, 144, 124, 41, 34, 7, 4
2018/4/23, 104, 216, 54, 44, 11, 18
2018/4/24, 176, 201, 42, 51, 10, 24
2018/4/25, 183, 365, 101, 51, 13, 45
2018/4/26, 223, 280, 39, 33, 9, 14
2018/4/27, 185, 223, 44, 19, 10, 8
2018/4/28, 163, 178, 68, 28, 10, 10
2018/4/29, 162, 151, 55, 27, 10, 10
2018/4/30, 156, 109, 33, 16, 6, 10
2018/5/1, 125, 107, 31, 17, 6, 7
2018/5/2, 124, 107, 17, 22, 9, 7
2018/5/3, 116, 97, 32, 25, 8, 8
2018/5/4, 114, 125, 50, 35, 7, 12
2018/5/5, 143, 305, 23, 55, 10, 32
2018/5/6, 179, 302, 45, 46, 12, 21
2018/5/7, 187, 363, , , 3, 3
2018/5/8, 162, 138, 65, 30, 12, 8
2018/5/9, 156, 146, 84, 46, 7, 14
2018/5/10, 162, 230, 79, 53, 12, 21
2018/5/11, 178, 293, 70, 51, 14, 24
2018/5/12, 191, 186, 35, 24, 11, 8
2018/5/13, 147, 96, 37, 26, 11, 7
2018/5/14, 119, 128, 46, 33, 8, 11
2018/5/15, 150, 147, 48, 30, 7, 9
2018/5/16, 156, 209, 65, 23, 13, 9
2018/5/17, 192, 180, 52, 27, 14, 9
2018/5/18, 186, 206, 62, 41, 10, 19
2018/5/19, 195, 148, 67, 30, 11, 10
2018/5/20, 174, 146, 56, 25, 12, 8
2018/5/21, 169, 154, 25, 48, 13, 16
2018/5/22, 171, 276, 97, 56, 13, 22
2018/5/23, 190, 286, 36, 55, 12, 20
2018/5/24, 185, 162, 66, 50, 9, 18
2018/5/25, 148, 193, 82, 49, 14, 17
2018/5/26, 177, 264, 72, 48, 8, 18
2018/5/27, 194, 213, 88, 45, 14, 10
2018/5/28, 189, 288, 79, 44, 9, 13
2018/5/29, 196, 181, 44, 17, 8, 7
2018/5/30, 168, 153, 50, 25, 9, 8
2018/5/31, 167, 130, 48, 14, 7, 6
2018/6/1, 158, , , , , 
2018/6/3, 137, 113, 48, 15, 6, 6
2018/6/4, 149, 94, 41, 15, 6, 6
2018/6/5, 143, 110, 32, 20, 7, 7
2018/6/6, 148, 102, 68, 23, 9, 8
2018/6/7, 154, 114, 30, 18, 5, 8
2018/6/8, 156, 117, 30, 15, 5, 7
2018/6/9, 132, 101, 73, 26, 5, 9
2018/6/10, 144, 130, 53, 26, 5, 7
2018/6/11, 158, 442, 29, 21, 5, 6
2018/6/12, 256, 890, 21, 15, 4, 4
2018/6/13, 390, 703, 22, 15, 5, 4
2018/6/14, 347, 495, 22, 13, 6, 4
2018/6/15, 252, 332, 25, 13, 7, 5
2018/6/16, 224, 150, 28, 11, 6, 5
2018/6/17, 172, 98, 32, 20, 8, 7
2018/6/18, 158, 89, 52, 17, 7, 5
2018/6/19, 143, 125, 80, 28, 8, 9
2018/6/20, 167, 158, 71, 28, 8, 7
2018/6/21, 182, 128, 101, 33, 8, 12
2018/6/22, 171, 136, 74, 35, 9, 11
2018/6/23, 177, 130, 61, 25, 10, 8
2018/6/24, 165, 302, 38, 19, 7, 8
2018/6/25, 182, 106, 24, 18, 12, 6
2018/6/26, 151, 58, 14, 13, 5, 7
2018/6/27, 105, 42, 21, 14, 5, 6
2018/6/28, 67, 57, 20, 14, 5, 7
2018/6/29, 95, 57, 23, 18, 6, 7
2018/6/30, 105, 55, 24, 15, 5, 8
2018/1/20, 316, , , , , 
2018/1/22, 235, 251, 8, 36, 5, 17
2018/1/23, 263, 171, 22, 25, 8, 16
2018/1/24, 225, 153, 16, 22, 7, 13
2018/1/25, 214, 211, 16, 27, 7, 19
2018/1/26, 262, 242, 25, 31, 8, 17
2018/1/27, 272, 221, 26, 31, 5, 23
2018/1/28, 245, 229, 24, 30, 5, 18
2018/1/29, 239, 192, 27, 28, 9, 9
2018/1/30, 227, 171, 27, 25, 9, 12
2018/1/31, 219, 213, 28, 39, 14, 18
2018/2/1, 231, 201, 23, 34, 10, 16
2018/2/2, 222, 159, 33, 34, 11, 11
2018/2/3, 185, 176, 35, 32, 9, 13
2018/2/4, 207, 242, 21, 42, 12, 20
2018/2/5, 250, 184, 25, 36, 11, 16
2018/2/6, 215, 161, 38, 34, 12, 14
2018/2/7, 198, 230, 5, 43, 9, 35
2018/2/8, 266, 215, 39, 46, 15, 24
2018/2/9, 212, 291, 50, 57, 12, 40
2018/2/10, 263, 225, 19, 46, 11, 29
2018/2/11, 232, 108, 14, 18, 9, 7
2018/2/12, 163, 118, 27, 30, 10, 12
2018/2/13, 183, 97, 27, 20, 8, 6
2018/2/14, 145, 109, 30, 22, 10, 8
2018/2/15, 164, 157, 33, 32, 12, 11
2018/2/16, 212, 164, 33, 32, 13, 12
2018/2/17, 209, 177, 42, 33, 10, 14
2018/2/18, 197, 207, 49, 43, 12, 25
2018/2/19, 215, 242, 48, 45, 12, 24
2018/2/20, 236, 256, 50, 60, 12, 40
2018/2/21, 219, 214, 34, 41, 13, 20
2018/2/22, 211, 209, 38, 46, 13, 26
2018/2/23, 204, 288, 26, 44, 12, 22
2018/2/24, 234, 169, 30, 25, 13, 10
2018/2/25, 182, 106, 27, 18, 9, 5
2018/2/26, 146, 120, 29, 26, 10, 9
2018/2/27, 159, 193, 43, 33, 12, 18
2018/2/28, 190, 164, 30, 34, 11, 18
2018/3/1, 176, 155, 30, 37, 10, 22
2018/3/2, 177, 152, 29, 28, 12, 12
2018/3/3, 167, 138, 28, 23, 11, 9
2018/3/4, 159, 110, 34, 25, 10, 9
2018/3/5, 140, 113, 27, 24, 11, 7
2018/3/6, 145, 142, 18, 31, 12, 9
2018/3/7, 171, 126, 78, 23, 19, 8
2018/3/8, 166, 141, 40, 23, 19, 7
2018/3/9, 172, 112, 28, 25, 12, 7
2018/3/10, 150, 148, 35, 30, 11, 11
2018/3/11, 153, 155, 32, 33, 13, 14
2018/3/12, 170, 174, 22, 48, 14, 23
2018/3/13, 166, 255, 29, 43, 11, 23
2018/3/14, 177, 206, 17, 31, 13, 11
2018/3/15, 173, 189, 29, 28, 16, 11
2018/3/16, 180, 151, 14, 24, 15, 7
2018/3/17, 181, , , , , 
2018/3/19, 141, 174, 36, 45, 16, 21
2018/3/20, 180, 265, 39, 36, 21, 18
2018/3/21, 220, 124, 37, 24, 17, 8
2018/3/22, 164, 101, 16, 29, 11, 8
2018/3/23, 154, 120, 37, 28, 11, 7
2018/3/24, 154, 137, 38, 27, 13, 8
2018/3/25, 154, 127, 33, 28, 12, 9
2018/3/26, 155, 144, 25, 41, 13, 17
2018/3/27, 159, 172, 42, 36, 13, 16
2018/3/28, 157, 140, 32, 31, 14, 10
2018/3/29, 168, 165, 45, 37, 13, 11
2018/3/30, 174, 272, 31, 34, 13, 15
2018/3/31, 199, 136, 15, 36, 11, 10
2021/4/18, , 121, 28, 16, 3, 8
2021/3/29, , 484, 17, 5, 2, 4
2020/4/4, , 61, 219, 6, 15, 3
2019/12/31, , 396, 22, 41, 7, 33
2020/3/1, , 111, 27, 26, 8, 10
2019/9/22, , 63, 7, 17, 5, 9
2019/4/7, , 231, 44, 27, 9, 8
2018/12/31, , 364, 18, 39, 8, 33
2019/2/24, , 105, 17, 37, 7, 8
2019/3/21, , 78, 33, 19, 7, 4
2018/6/2, , 96, 57, 15, 6, 6
2018/1/19, , 360, 5, 31, 11, 16
2018/1/21, , 257, 31, 39, 9, 21
2018/3/18, , 115, 30, 35, 14, 11
